Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release
Made in Abyss,4.20 Excellent,"Kinema Citrus Co., Ltd.",Manga,Adventure,~26min,TV-Series,13,2017
Nana,4.20 Excellent,MADHOUSE Inc.,Manga,Romantic Drama,~23min,TV-Series,47,2006
Mushoku Tensei: Jobless Reincarnation - Season 2,4.20 Excellent,"StudioBind Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2023
Ascendance of a Bookworm (Part 2),4.20 Excellent,"AJIADO CO.,LTD.",Light Novel,Slice of Life Drama,~24min,TV-Series,12,2020
Haikyu!!,4.19 Excellent,"Production I.G., Inc.",Manga,Ganbatte,~24min,TV-Series,25,2014
Parasyte: The Maxim,4.19 Excellent,MADHOUSE Inc.,Manga,Action Drama,~23min,TV-Series,24,2014
Dr. Stone,4.19 Excellent,"TMS Entertainment Co., Ltd.",Manga,Adventure Comedy,~24min,TV-Series,24,2019
Bocchi the Rock!,4.19 Excellent,CloverWorks Inc.,Manga,Slice of Life Comedy,~24min,TV-Series,12,2022
One Piece,4.18 Excellent,"Toei Animation Co., Ltd.",Manga,Fighting-Shounen,~24min,TV-Series,1150,1999
Food Wars! Shokugeki no Soma,4.18 Excellent,"J.C.STAFF Co., Ltd.",Manga,Ganbatte,~25min,TV-Series,24,2015
Bakuman Season 3,4.18 Excellent,"J.C.STAFF Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,25,2012
Ascendance of a Bookworm (Part 3),4.18 Excellent,"AJIADO CO.,LTD.",Light Novel,Slice of Life Drama,~24min,TV-Series,10,2022
Re:Zero - Starting Life in Another World: Director’s Cut,4.18 Excellent,"WHITE FOX Co., Ltd.",Light Novel,Drama,~51min,TV-Series,13,2020
Dr. Stone: Stone Wars,4.17 Excellent,"TMS Entertainment Co., Ltd.",Manga,Adventure,~24min,TV-Series,11,2021
Dr. Stone: New World (Cour 2),4.17 Excellent,"TMS Entertainment Co., Ltd.",Manga,Adventure,~24min,TV-Series,11,2023
Dan Da Dan,4.17 Excellent,Science SARU Inc.,Manga,Action,~24min,TV-Series,12,2024
Food Wars! The Third Plate (Totsuki Train-Arc),4.17 Excellent,"J.C.STAFF Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,12,2018
Food Wars! The Third Plate,4.16 Excellent,"J.C.STAFF Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,12,2017
Demon Slayer: Kimetsu no Yaiba - Hashira Training Arc,4.17 Excellent,"ufotable, Inc.",Manga,Action Drama,~30min,TV-Series,8,2024
Monster,4.16 Excellent,MADHOUSE Inc.,Manga,Thriller,~24min,TV-Series,74,2004
Mushi-Shi,4.16 Excellent,Artland Inc.,Manga,Drama,~24min,TV-Series,26,2005
Laid-Back Camp Season 2,4.17 Excellent,"C-Station Co., Ltd",Manga,Slice of Life Comedy,~24min,TV-Series,13,2021
Dororo,4.06 Excellent,"MAPPA Co., Ltd., Tezuka Productions Co., Ltd.",Manga,Adventure,~24min,TV-Series,24,2019
Mobile Suit Gundam 00 Second Season,4.06 Excellent,SUNRISE Inc.,Original Work,Action Drama,~24min,TV-Series,25,2008
My Teen Romantic Comedy SNAFU: Climax!,4.06 Excellent,feel.,Light Novel,Slice of Life Drama,~24min,TV-Series,12,2020
Magi: The Kingdom of Magic,4.05 Excellent,A-1 Pictures Inc.,Manga,Adventure,~25min,TV-Series,25,2013
The Ancient Magus’ Bride: Season 2 (Cour 2),4.07 Excellent,"Studio KAFKA Co., Ltd.",Manga,Supernatural Drama,~24min,TV-Series,12,2023
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,4.06 Excellent,David Production Inc.,Manga,Fighting-Shounen,~23min,TV-Series,24,2015
Full Metal Panic? Fumoffu,4.05 Excellent,"Kyoto Animation Co., Ltd.",Light Novel,Comedy,~24min,TV-Series,12,2003
Girls Band Cry,4.11 Excellent,"Toei Animation Co., Ltd.",Original Work,Drama,~24min,TV-Series,13,2024
