Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release
Shonen Ashibe GO! GO! Goma-chan,2.31 Mediocre,"Bridge Inc., Husio Studio",Manga,Comedy,~9min,TV-Series,32,2016
Virus Buster Serge,2.30 Mediocre,Plum,Video Game,?,~24min,TV-Series,12,1997
Judo Boy,2.30 Mediocre,"Tatsunoko Production Co., Ltd.",Manga,Action,~24min,TV-Series,26,1969
Jewelpet Kira Deco!,2.30 Mediocre,"Studio Comet Co., Ltd.",Original Work,Adventure,~25min,TV-Series,52,2012
Dash Kappei,2.29 Mediocre,"Tatsunoko Production Co., Ltd.",,Ganbatte,~23min,TV-Series,65,1981
Future Card Buddyfight Triple D,2.29 Mediocre,"OLM, Inc., XEBEC, Inc.",Other,Ganbatte,~25min,TV-Series,51,2016
Chiikawa,2.29 Mediocre,Doga Kobo,Manga,?,~2min,TV-Series,256,2022
Pokémon,2.32 Mediocre,"OLM, Inc.",Video Game,Adventure,~25min,TV-Series,276,1997
Scar-red Rider XechS,2.31 Mediocre,Satelight Inc.,Video Game,Adventure,~24min,TV-Series,12,2016
Saint Luminous Jogakuin,2.31 Mediocre,Triangle Staff Corp.,Original Work,Crime Fiction,~25min,TV-Series,13,1998
Ketsuekigata-kun! 2,2.30 Mediocre,"Assez Finaud Fabric, feel.",Manga,Comedy,~4min,TV-Series,12,2015
Magical Somera-chan,2.31 Mediocre,Animation Studio Seven,Manga,Nonsense-Comedy,~4min,TV-Series,12,2015
Minna Atsumare! Falcom Gakuen SC,2.29 Mediocre,"DAX Production Inc., chara-ani Corporation",,Comedy,~2min,TV-Series,12,2015
Shinkansen Henkei Robo Shinkalion the Animation,2.29 Mediocre,"OLM, Inc.",Other,Action,~24min,TV-Series,76,2018
Urawa no Usagi-chan,2.31 Mediocre,A-Real,Original Work,?,~4min,TV-Series,12,2015
Bono Bono,2.29 Mediocre,"EIKEN Co., Ltd.",Manga,Comedy,~6min,TV-Series,400,2016
Video Warrior Laserion,2.28 Mediocre,"Toei Animation Co., Ltd.",,Action,~24min,TV-Series,45,1984
Cookin’ Idol Ai! Mai! Main!,2.28 Mediocre,,Original Work,Ganbatte,~10min,TV-Series,305,2009
Magical Meow Meow Taruto,2.30 Mediocre,"MADHOUSE Inc., TNK Co., Ltd.",Manga,Comedy,~22min,TV-Series,12,2001
Angel Links,2.30 Mediocre,SUNRISE Inc.,Manga,Adventure,~24min,TV-Series,13,1999
Bikini Warriors,2.31 Mediocre,"PRA, feel.",Other,Action Comedy,~4min,TV-Series,12,2015
Chibi Maruko-chan,2.31 Mediocre,"Nippon Animation Co., Ltd.",Manga,Comedy,~25min,TV-Series,142,1990
Samurai Gun,2.31 Mediocre,Egg Inc.,Manga,Action,~24min,TV-Series,12,2004
Lemon Angel II,2.29 Mediocre,"Anime International Co., Inc.",Original Work,Indefinite,~5min,TV-Series,9,1988
Aquarion: Myth of Emotions,2.29 Mediocre,Satelight Inc.,,?,~24min,TV-Series,12,2025
My Melody’s Magical Adventure,2.29 Mediocre,"Studio Comet Co., Ltd.",Original Work,Comedy,~24min,TV-Series,52,2005
The Casebook of Charlotte Holmes,2.25 Mediocre,"Nippon Animation Co., Ltd.",,?,~25min,TV-Series,26,1977
Tsurikichi Sanpei,2.25 Mediocre,"Nippon Animation Co., Ltd.",Manga,?,~25min,TV-Series,109,1980
Beast Wars Second Chou Seimeitai Transformers,2.25 Mediocre,"Ashi Productions Co., Ltd.",Original Work,Action,~23min,TV-Series,43,1998
VS Knight Ramune & 40 Fire,2.25 Mediocre,"Ashi Productions Co., Ltd.",Original Work,Adventure,~23min,TV-Series,26,1996
Matchless Raijin-Oh,2.25 Mediocre,SUNRISE Inc.,Original Work,Adventure,~24min,TV-Series,51,1991
Oh! Family,2.25 Mediocre,ICHI Corporation,,Romantic Comedy,~25min,TV-Series,26,1986
Juusoukikou Dancougar Nova,2.30 Mediocre,"Ashi Productions Co., Ltd.",Original Work,Action,~24min,TV-Series,12,2007
Mouse,2.30 Mediocre,"Studio DEEN Co., Ltd.",Manga,Comedy,~14min,TV-Series,12,2003
Little El Cid no Bouken,2.11 Weak,"Nippon Animation Co., Ltd.",Other,?,~24min,TV-Series,26,1984
Umi no Triton,2.11 Weak,Animation Staffroom Inc.,Manga,Adventure,~23min,TV-Series,27,1972
Chiruran 1/2,2.18 Weak,"LandQ Studios Co., Ltd.",Manga,Action,~2min,TV-Series,12,2017
Conception,2.20 Weak,Gonzo K.K.,Video Game,Action,~24min,TV-Series,12,2018
Gloomy the Naughty Grizzly,2.16 Weak,NAZ Inc.,Other,Nonsense-Comedy,~1min,TV-Series,12,2021
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo The TV,2.15 Weak,"Anime International Co., Inc.",,Nonsense-Comedy,~4min,TV-Series,10,2013
Dimension High School,2.15 Weak,"Asmik Ace Co., Ltd.",Original Work,Adventure,~24min,TV-Series,12,2019
Ring ni Kakero 1: Nichibei Kessen-hen,2.12 Weak,"Toei Animation Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,12,2006
Onara Goro,2.18 Weak,"ILCA, Inc.",Original Work,Nonsense-Comedy,~3min,TV-Series,13,2016
Time Bokan Series: Yattodetaman,2.07 Weak,"Tatsunoko Production Co., Ltd.",Original Work,?,~24min,TV-Series,52,1981
Mashin Eiyuuden Wataru,2.07 Weak,SUNRISE Inc.,Original Work,Action,~24min,TV-Series,45,1988
Astroganger,2.07 Weak,ICHI Corporation,Original Work,Adventure,~24min,TV-Series,26,1972
Gene Diver,2.07 Weak,"Junio Brain Trust Co., Ltd.",Original Work,Adventure,~15min,TV-Series,56,1994
B'tX,2.17 Weak,"TMS Entertainment Co., Ltd.",Manga,Fighting-Shounen,~25min,TV-Series,25,1996
Lemon Angel,2.16 Weak,"Anime International Co., Inc.",Original Work,Indefinite,~5min,TV-Series,37,1987
You Don’t Know Gunma Yet,2.18 Weak,ASAHI PRODUCTION,Manga,Comedy,~3min,TV-Series,12,2018
Huck and Tom's Mississippi Adventure,2.17 Weak,Aubec,Novel,Adventure,~25min,TV-Series,26,1994
Ketsuekigata-kun!,2.17 Weak,"Assez Finaud Fabric, feel.",Manga,Comedy,~2min,TV-Series,13,2013
Rio: Rainbow Gate!,2.19 Weak,"XEBEC, Inc.",Visual Novel,Comedy,~24min,TV-Series,13,2011
The Adventures of Ultraman / Ultraman II: The Further Adventures of Ultraman,2.10 Weak,SUNRISE Inc.,Live-Action,Action,~23min,TV-Series,50,1979
Machine Robo: Revenge of Cronos,2.10 Weak,"Ashi Productions Co., Ltd.",Other,?,~25min,TV-Series,47,1986
Juusenshi Gulkeeva,2.10 Weak,SUNRISE Inc.,Original Work,?,~25min,TV-Series,26,1995
Shuffle! Memories,2.19 Weak,asread,Visual Novel,Sentimental Drama,~24min,TV-Series,12,2007
Muumin (1972),2.14 Weak,"Mushi Production Co., Ltd.",Novel,?,~25min,TV-Series,52,1972
Space Ace,2.00 Weak,"Tatsunoko Production Co., Ltd.",Manga,Action,~26min,TV-Series,52,1965
Kamen no Ninja Akakage,2.00 Weak,"Life Work Co., Ltd.",,?,~25min,TV-Series,23,1987
Dash! Yonkurou,2.00 Weak,Aubec,Manga,Ganbatte,~22min,TV-Series,25,1989
Oyako Club,2.00 Weak,"EIKEN Co., Ltd.",,Slice of Life Comedy,~5min,TV-Series,1818,1994
Magica Wars,2.17 Weak,"Gainax Co., Ltd.",Original Work,Action,~4min,TV-Series,26,2014
Late Night! The Genius Bakabon,2.12 Weak,"St.Signpost.CO.,Ltd.",Manga,Comedy,~24min,TV-Series,12,2018
Seton Doubutsu-ki: Risu no Banner,2.18 Weak,"Nippon Animation Co., Ltd.",Novel,Adventure,~23min,TV-Series,26,1979
Oreca Battle,2.09 Weak,"OLM, Inc., XEBEC, Inc.",,Ganbatte,~11min,TV-Series,51,2014
Nekota no Koto ga Ki ni Natte Shikatanai.,2.11 Weak,,Manga,Romantic Comedy,~1min,TV-Series,4,2015
Belle and Sebastian,2.16 Weak,Visual 80,Novel,Adventure,~25min,TV-Series,52,1981
Namuamidabutsu! Utena,2.12 Weak,ASAHI PRODUCTION,Video Game,?,~24min,TV-Series,12,2019
Kowabon,2.17 Weak,"ILCA, Inc.",Original Work,Horror,~3min,TV-Series,13,2015
Legend of Himiko,2.12 Weak,"Group Tac Co., Ltd.",Video Game,Adventure,~25min,TV-Series,12,1999
Days of Urashimasakatasen,2.12 Weak,GAINAX Kyoto,,?,~4min,TV-Series,12,2019
Fairy Ranmaru,2.14 Weak,"Studio Comet Co., Ltd.",Original Work,Action,~24min,TV-Series,12,2021
Aa Harimanada,2.00 Weak,"E&G Films Co., Ltd.",Manga,Ganbatte,~23min,TV-Series,23,1992
Shinseiki Den Mars,2.06 Weak,"Plum, Studio Guts Co., Ltd.",Manga,Action,~25min,TV-Series,13,2002
Master of Epic,2.08 Weak,Gonzo K.K.,Video Game,Action Comedy,~25min,TV-Series,12,2007
Haou Daikei Ryuu Knight,2.10 Weak,SUNRISE Inc.,Original Work,Adventure,~23min,TV-Series,52,1994
Marie & Gali,2.10 Weak,"Toei Animation Co., Ltd.",,Comedy,~5min,TV-Series,40,2009
Time Bokan 24,2.10 Weak,"Tatsunoko Production Co., Ltd.",Original Work,?,~24min,TV-Series,24,2016
Yumeria,2.17 Weak,"Studio DEEN Co., Ltd.",Video Game,Action Comedy,~24min,TV-Series,12,2004
Love Love?,2.17 Weak,"IMAGIN Co., Ltd., Studio Live Co., Ltd.",Original Work,Romantic Comedy,~15min,TV-Series,9,2004
The Reflection,2.14 Weak,"Studio DEEN Co., Ltd.",Original Work,Action,~25min,TV-Series,12,2017
Moero Arthur: Hakuba no Ouji,2.12 Weak,"Toei Animation Co., Ltd.",Fairy Tale,Adventure,~26min,TV-Series,22,1980
Yuri no Aida ni Hasamareru. Aru Asa Dummy Head Mike ni Natte Ita Ore-kun no Jinsei,2.12 Weak,"Ekachi Epilka, INDIVISION Corporation",Original Work,Comedy,~4min,TV-Series,12,2022
Lovedol: Lovely Idol,2.14 Weak,"Anime International Co., Inc.",Light Novel,Romantic Comedy,~25min,TV-Series,12,2006
Chance Pop Session,2.08 Weak,MADHOUSE Inc.,Original Work,Comedy,~24min,TV-Series,13,2001
"Welcome, Chitose",2.08 Weak,"Gathering Co., Ltd.",Manga,Slice of Life Comedy,~3min,TV-Series,24,2018
Beyblade G Revolution,2.16 Weak,"Nippon Animedia Co., Ltd.",Manga,Ganbatte,~23min,TV-Series,52,2003
The IDOLM@STER SideM Wakeatte Mini!,2.05 Weak,"ZERO-G, Inc.",Video Game,Comedy,~4min,TV-Series,12,2018
Boku-no-imoutowa ”Osaka-okan”,2.15 Weak,Charaction,Original Work,Comedy,~4min,TV-Series,12,2012
Cooking Papa,2.00 Weak,"EIKEN Co., Ltd.",Manga,Slice of Life Drama,~24min,TV-Series,151,1992
Return of the Dinosaurs,2.00 Weak,SUNRISE Inc.,Original Work,?,~24min,TV-Series,25,1976
Time Bokan Series: Time Patrol Tai Otasukeman,2.00 Weak,"Tatsunoko Production Co., Ltd.",Original Work,?,~25min,TV-Series,53,1980
Akaki Chi no Eleven,2.00 Weak,Nippon Television Douga,Manga,Ganbatte,~25min,TV-Series,52,1970
8th Man,2.00 Weak,"EIKEN Co., Ltd.",,Action Drama,~25min,TV-Series,56,1963
Speed Racer,2.13 Weak,"Tatsunoko Production Co., Ltd.",Manga,Ganbatte,~26min,TV-Series,52,1967
Million Doll,2.14 Weak,ASAHI PRODUCTION,Manga,Drama,~4min,TV-Series,11,2015
Spaceship Sagittarius,2.12 Weak,"Nippon Animation Co., Ltd.",,Adventure,~24min,TV-Series,77,1986
Nazotokine,2.12 Weak,Tengu Koubou,Original Work,Comedy,~8min,TV-Series,12,2016
Beyblade,2.15 Weak,MADHOUSE Inc.,Manga,Ganbatte,~23min,TV-Series,51,2001
Esper Mami,2.05 Weak,"Shin-ei Animation Co., Ltd.",Manga,Adventure,~24min,TV-Series,119,1987
Psycho Armor Govarian,2.00 Weak,ICHI Corporation,,Action,~24min,TV-Series,26,1983
Kaasan: Mom's Life,2.00 Weak,"GALLOP Co., Ltd.",Manga,Comedy,~19min,TV-Series,142,2009
God Mars (TV),2.07 Weak,"TMS Entertainment Co., Ltd.",Manga,Action,~24min,TV-Series,64,1981
Dancouga: Super Beast Machine God,2.04 Weak,"Ashi Productions Co., Ltd.",Original Work,Action,~24min,TV-Series,38,1985
Avenger,2.13 Weak,Bee Train Productions Inc.,Original Work,Adventure,~24min,TV-Series,13,2003
Meimon! Daisan Yakyuubu,1.90 Weak,"Studio Comet Co., Ltd.",,Ganbatte,~23min,TV-Series,40,1988
Muu no Hakugei,1.90 Weak,"TMS Entertainment Co., Ltd.",,?,~25min,TV-Series,26,1980
The Wacky World of Tic & Tac,1.90 Weak,"Tatsunoko Production Co., Ltd.",Original Work,Comedy,~3min,TV-Series,300,1971
Uchuu Majin Daikengo,1.90 Weak,,,?,~24min,TV-Series,26,1978
Chou Kuse ni Narisou,1.90 Weak,"St.Signpost.CO.,Ltd.",Manga,Romantic Comedy,~24min,TV-Series,39,1994
PePePePengiin,1.90 Weak,DLE Inc.,Original Work,?,~2min,TV-Series,13,2016
Princess Knight,2.12 Weak,"Mushi Production Co., Ltd.",Manga,Adventure,~25min,TV-Series,52,1967
Gibiate,2.13 Weak,"Studio Elle Co., Ltd., l-a-unch BOX LLC",Original Work,Action,~24min,TV-Series,12,2020
Ozmafia!!,2.12 Weak,Creators in Pack Inc.,Visual Novel,Romance,~4min,TV-Series,12,2016
The World Yamizukan,2.12 Weak,"ILCA, Inc.",Original Work,Horror,~5min,TV-Series,13,2017
Jetter Mars,2.00 Weak,"Toei Animation Co., Ltd.",Original Work,Adventure,~24min,TV-Series,27,1977
Osomatsu-kun,2.00 Weak,"Children’s Corner, Studio Zero",Manga,Comedy,~25min,TV-Series,56,1966
Guilty Gear Strive: Dual Rulers,2.08 Weak,SANZIGEN Inc.,Video Game,?,~24min,TV-Series,8,2025
Transformers: Energon,2.04 Weak,Actas Inc.,Other,Action,~25min,TV-Series,51,2004
Super Dimensional Cavalry Southern Cross,2.09 Weak,"Tatsunoko Production Co., Ltd.",Original Work,Adventure,~23min,TV-Series,23,1984
Pikotaro’s Lullaby La La By,2.09 Weak,DLE Inc.,Original Work,?,~3min,TV-Series,9,2017
Muumin,2.10 Weak,"Mushi Production Co., Ltd., TMS Entertainment Co., Ltd.",Novel,Slice of Life Drama,~25min,TV-Series,65,1969
Seton Doubutsu-ki: Kuma no Ko Jacky,2.10 Weak,"Nippon Animation Co., Ltd.",Novel,Adventure,~24min,TV-Series,26,1977
"Lime-iro Senkitan: Meiji Nippon, Otome Sakimorisu.",2.12 Weak,"Studio Hibari Co., Ltd.",Visual Novel,Adventure,~25min,TV-Series,13,2003
Chotto dake Ai ga Omoi Dark Elf ga Isekai kara Oikakete Kita: Mini Anime Gekijou,2.00 Weak,Front Wing,Manga,Romantic Comedy,~12min,TV-Series,12,2025
Shadow World,1.92 Weak,"EIKEN Co., Ltd.",Original Work,?,~24min,TV-Series,26,1976
Hoshi no Ko Chobin,1.92 Weak,,,Adventure Comedy,~25min,TV-Series,26,1974
Little Kaibutsu,1.92 Weak,"TMS Entertainment Co., Ltd.",,?,~25min,TV-Series,49,1968
Bloody Bunny,1.92 Weak,,,?,~1min,TV-Series,26,2012
Yu-Gi-Oh! Go Rush!!,1.92 Weak,Bridge Inc.,Original Work,Ganbatte,~24min,TV-Series,151,2022
Tesla Note,2.10 Weak,Gambit,Manga,Action,~24min,TV-Series,13,2021
Doraemon,2.09 Weak,"Shin-ei Animation Co., Ltd.",Manga,Comedy,~10min,TV-Series,1787,1979
Great Mazinger,2.00 Weak,"Toei Animation Co., Ltd.",,Action,~25min,TV-Series,56,1974
Robby the Rascal,1.71 Weak,ICHI Corporation,,Adventure,~24min,TV-Series,39,1982
Chargeman Ken!,1.71 Weak,ICHI Corporation,,Action,~7min,TV-Series,65,1974
Humanoid Monster Bem,1.71 Weak,"Studio Comet Co., Ltd.",,Horror,~25min,TV-Series,26,2006
Monkey Turn,1.67 Weak,"OLM, Inc.",Manga,?,~23min,TV-Series,25,2004
Ninpuu Kamui Gaiden,1.67 Weak,"EIKEN Co., Ltd.",Manga,Action,~22min,TV-Series,26,1969
Force Five: Gaiking,1.67 Weak,"Toei Animation Co., Ltd.",Original Work,Action,~25min,TV-Series,44,1976
Thunderbirds 2086,1.67 Weak,"Anime International Co., Inc., Green Box",,?,~24min,TV-Series,24,1982
Rainbow Sentai Robin,1.67 Weak,"Toei Animation Co., Ltd.",Original Work,?,~26min,TV-Series,48,1966
Sore Ike! Anpanman,1.67 Weak,"TMS Entertainment Co., Ltd.",Other,Comedy,~10min,TV-Series,1800,1988
The Bamboo Bears,1.95 Weak,Joseon 4.26 Adong Yeonghwa Chwal-yeongso,,Adventure,~25min,TV-Series,52,1997
Manga Nihon Emaki,1.60 Weak,,Other,?,~25min,TV-Series,46,1977
Masuda Kousuke Gekijou Gag Manga Biyori +,1.60 Weak,"Studio DEEN Co., Ltd.",Manga,?,~6min,TV-Series,26,2010
Power Stone,1.97 Weak,"Pierrot Co., Ltd.",Video Game,Fighting-Shounen,~24min,TV-Series,26,1999
Weiß Survive,1.97 Weak,"Studio Hibari Co., Ltd.",Manga,Ganbatte,~3min,TV-Series,16,2009
Panyo Panyo Di Gi Charat,1.89 Weak,MADHOUSE Inc.,,Comedy,~5min,TV-Series,48,2002
Ikémen Sengoku: Bromances Across Time,1.89 Weak,Jinni’s Animation Studio,Video Game,Romance,~4min,TV-Series,12,2017
Parent and Child Theatre,1.86 Weak,"Tatsunoko Production Co., Ltd.",Other,Adventure,~24min,TV-Series,26,1981
Rainy Cocoa: Season 2,1.92 Weak,EMT Squared,Manga,Comedy,~2min,TV-Series,12,2015
Crane Game Girls Galaxy,1.81 Weak,KYOTOMA Inc.,Original Work,Comedy,~4min,TV-Series,12,2016
Sweet Valerian,1.79 Weak,MADHOUSE Inc.,Original Work,?,~4min,TV-Series,18,2004
The Legend of Snow White,1.92 Weak,"Tatsunoko Production Co., Ltd.",Fairy Tale,Adventure,~24min,TV-Series,52,1994
Haiyoru! Nyaruani: Remember My Mr. Lovecraft,1.94 Weak,DLE Inc.,Light Novel,Nonsense-Comedy,~4min,TV-Series,11,2010
Spider Riders,1.72 Weak,"Bee Train Productions Inc., Cookie Jar Group",,?,~24min,TV-Series,26,2006
Cheburashka Arere?,1.72 Weak,GoHands,,Adventure,~2min,TV-Series,26,2009
Machine Hayabusa,1.69 Weak,"Toei Animation Co., Ltd.",Original Work,Ganbatte,~25min,TV-Series,21,1976
Jewelpet: Magical Change,1.64 Weak,"Studio DEEN Co., Ltd.",Original Work,Adventure,~25min,TV-Series,39,2015
Ai-Mai-Mi Mousou Catastrophe,1.92 Weak,Animation Studio Seven,Manga,Nonsense-Comedy,~4min,TV-Series,12,2014
Musasi-no,1.88 Weak,"A-Real, Takanori YAMAURA",Original Work,Comedy,~4min,TV-Series,12,2022
Tono to Issho,1.80 Weak,"Gathering Co., Ltd.",,Comedy,~2min,TV-Series,12,2010
Combattler V,1.58 Weak,"Toei Animation Co., Ltd.",Original Work,Action,~24min,TV-Series,54,1976
Time Bokan Series: Itadakiman,1.58 Weak,"Tatsunoko Production Co., Ltd.",Original Work,Action,~26min,TV-Series,20,1983
Chougattai Majutsu Robot Ginguiser,1.58 Weak,"Nippon Animation Co., Ltd.",Original Work,Adventure,~24min,TV-Series,26,1977
Kaibutsu-kun 2,1.58 Weak,"Shin-ei Animation Co., Ltd.",,Comedy,~25min,TV-Series,94,1980
Meshimase Lodoss-tou Senki: Sorette Oishii no?,1.58 Weak,"Studio DEEN Co., Ltd., Studio Hibari Co., Ltd.",,Adventure,~3min,TV-Series,12,2014
Hanoka,1.85 Weak,"Fanworks Inc., RAMS",Original Work,?,~5min,TV-Series,12,2006
Steel Angel Kurumi 2,1.88 Weak,"OLM, Inc.",Manga,Action Comedy,~15min,TV-Series,12,2001
Gasshin Sentai Mechander Robo,1.50 Weak,Wako Pro,,Action,~23min,TV-Series,35,1977
Temple the Balloonist,1.50 Weak,"Tatsunoko Production Co., Ltd.",Original Work,Adventure,~25min,TV-Series,26,1977
Anisava,1.50 Weak,,,Comedy,~5min,TV-Series,13,2013
Sumiko (2014),1.50 Weak,"Opera House, 中山忍, 首藤順",,Comedy,~3min,TV-Series,8,2014
Ai-Mai-Mi,1.92 Weak,Animation Studio Seven,Manga,Nonsense-Comedy,~3min,TV-Series,13,2013
SD Gundam Sangokuden Brave Battle Warriors,1.81 Weak,SUNRISE Inc.,,Action,~12min,TV-Series,51,2010
Transformers Armada,1.87 Weak,Actas Inc.,Other,Action,~25min,TV-Series,52,2003
Kikou Sennyo Rouran,1.70 Weak,ZEXCS Inc.,Original Work,?,~13min,TV-Series,28,2002
Makuranodanshi,1.90 Weak,"Assez Finaud Fabric, feel.",Original Work,Romance,~4min,TV-Series,12,2015
Francesca,1.86 Weak,"Heart Bit, Telecom Animation Film Co., Ltd.",Original Work,Comedy,~12min,TV-Series,24,2014
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,1.83 Weak,"Anime International Co., Inc.",,Nonsense-Comedy,~5min,TV-Series,12,2012
Gakkatsu!,1.80 Weak,Fanworks Inc.,,Comedy,~5min,TV-Series,25,2012
Chou Kousoku Galvion,1.62 Weak,Kokusai Eigasha,Original Work,Action,~23min,TV-Series,22,1984
Dogtanian and the Three Muskehounds,1.88 Weak,"Nippon Animation Co., Ltd.",Novel,Adventure,~24min,TV-Series,26,1981
Aooni The Blue Monster,1.87 Weak,"Studio DEEN Co., Ltd.",Video Game,Horror,~3min,TV-Series,13,2016
A Christmas Adventure,1.88 Weak,"Zuiyo Co., Ltd.",Original Work,Adventure,~24min,TV-Series,23,1984
New Yatterman,1.71 Weak,"Tatsunoko Production Co., Ltd.",Original Work,?,~25min,TV-Series,60,2008
Q Transformers: Kaette Kita Convoy no Nazo,1.50 Weak,DLE Inc.,Video Game,Comedy,~5min,TV-Series,13,2015
Duel Masters Cross Shock,1.71 Weak,"Shougakukan Music & Digital Entertainment Co., Ltd.",Manga,Ganbatte,~10min,TV-Series,50,2010
Yobarete Tobidete Akubi-chan,1.40 Weak,"Tatsunoko Production Co., Ltd.",Original Work,Comedy,~24min,TV-Series,26,2001
Funny Pets,1.40 Weak,,Original Work,Comedy,~6min,TV-Series,12,2006
Konchuu Monogatari Minashigo Hutch (Heisei Ban),1.40 Weak,"Tatsunoko Production Co., Ltd.",,Adventure,~24min,TV-Series,55,1989
Manga Mitokoumon,1.40 Weak,ICHI Corporation,,Adventure,~24min,TV-Series,46,1981
Tetsujin 28 FX,1.40 Weak,"TMS Entertainment Co., Ltd.",Manga,?,~25min,TV-Series,47,1992
21 Emon,1.40 Weak,"Shin-ei Animation Co., Ltd.",Manga,Action Comedy,~25min,TV-Series,39,1991
Bottom Biting Bug 2,1.40 Weak,"Kinema Citrus Co., Ltd.",,Nonsense-Comedy,~5min,TV-Series,32,2013
Love Rice 2,1.76 Weak,"Kachigarasu Co., Ltd.",Original Work,Nonsense-Comedy,~4min,TV-Series,12,2017
Akiba-chan,1.83 Weak,Tsuburaya Entertainment Ltd.,Original Work,Comedy,~5min,TV-Series,10,2008
Ishida & Asakura,1.85 Weak,"DAX Production Inc., HOTLINE",Manga,Nonsense-Comedy,~2min,TV-Series,12,2013
Himote House: A Share House of Super Psychic Girls,1.82 Weak,Bouncy,Original Work,Comedy,~12min,TV-Series,12,2018
Taisho Mebiusline Chicchaisan,1.81 Weak,studio A-CAT,Visual Novel,?,~4min,TV-Series,12,2017
Barbapapa (1977),1.79 Weak,,Novel,Indefinite,~5min,TV-Series,48,1977
Bihada Ichizoku,1.78 Weak,OMNIBUS JAPAN Inc.,Original Work,Drama,~10min,TV-Series,12,2008
Blocker Gundan IV Machine Blaster,1.42 Weak,"Ashi Productions Co., Ltd.",Original Work,Action,~30min,TV-Series,38,1976
Duel Masters Zero,1.67 Weak,"Shougakukan Music & Digital Entertainment Co., Ltd.",Manga,Ganbatte,~10min,TV-Series,25,2007
Ame-Con!!,1.67 Weak,EMT Squared,Manga,Comedy,~3min,TV-Series,12,2017
Koguma no Misha,1.30 Weak,"Nippon Animation Co., Ltd.",Original Work,?,~24min,TV-Series,26,1979
Heart and Yummie (TV),1.30 Weak,"KID’S Co., Ltd.",,Adventure,~5min,TV-Series,20,2010
Sennin Buraku,1.50 Weak,"EIKEN Co., Ltd.",Manga,Romantic Comedy,~13min,TV-Series,23,1963
Calimero,1.82 Weak,"Toei Animation Co., Ltd.",Other,Adventure,~25min,TV-Series,45,1974
Babel Nisei,1.55 Weak,"Toei Animation Co., Ltd.",Manga,Adventure,~25min,TV-Series,39,1973
Duel Masters Cross,1.71 Weak,"Shougakukan Music & Digital Entertainment Co., Ltd.",Manga,Ganbatte,~10min,TV-Series,104,2008
Perman,1.43 Weak,"Shin-ei Animation Co., Ltd.",Manga,Adventure,~10min,TV-Series,526,1983
Time Bokan Series: Zendaman,1.43 Weak,"Tatsunoko Production Co., Ltd.",Original Work,?,~25min,TV-Series,52,1979
Mon Colle Knights,1.74 Weak,"Studio DEEN Co., Ltd.",Other,Adventure,~25min,TV-Series,51,2000
Vehicle Team Voltron,1.73 Weak,"Toei Animation Co., Ltd.",Original Work,Adventure,~25min,TV-Series,52,1982
Love Rice,1.75 Weak,"Kachigarasu Co., Ltd.",Original Work,Nonsense-Comedy,~4min,TV-Series,12,2017
Phantom Thief Reinya,1.70 Weak,Stingray,Manga,Nonsense-Comedy,~4min,TV-Series,12,2010
Rusted Armors,1.65 Weak,Kigumi,Other,Action,~24min,TV-Series,12,2022
Wowser,1.75 Weak,Wako Pro,,Comedy,~25min,TV-Series,52,1988
Koroshiya-san: The Hired Gun,1.74 Weak,Opera House,Manga,Comedy,~3min,TV-Series,10,2013
The Littl' Bits,1.73 Weak,"Tatsunoko Production Co., Ltd.",Original Work,Adventure,~25min,TV-Series,26,1980
Nagagutsu o Haita Neko no Bouken,1.62 Weak,"Enoki Films Co., Ltd.",Fairy Tale,?,~23min,TV-Series,26,1992
The Irresponsible Galaxy Tylor,1.69 Weak,Animation Studio Seven,Light Novel,Comedy,~4min,TV-Series,12,2017
Super Pig,1.78 Weak,"Nippon Animation Co., Ltd.",Manga,Action Comedy,~24min,TV-Series,51,1994
Kochinpa!,1.58 Weak,,,?,~1min,TV-Series,12,2015
Sparrow’s Hotel,1.75 Weak,HOTLINE,Manga,Comedy,~3min,TV-Series,12,2013
Chiisana Ojisan,1.60 Weak,,Manga,Indefinite,~1min,TV-Series,30,2012
Double-J,1.73 Weak,DLE Inc.,Manga,Nonsense-Comedy,~4min,TV-Series,11,2011
Yumemiru Topo Gigio,1.44 Weak,"Nippon Animation Co., Ltd.",,Adventure,~25min,TV-Series,13,1988
Gdgd Men’s Party,1.44 Weak,"Strawberry Meets Pictures Co., Ltd.",Original Work,Adventure,~9min,TV-Series,12,2018
Genma Wars,1.38 Weak,"E&G Films Co., Ltd.",Manga,Action Drama,~25min,TV-Series,13,2002
"Don't Leave Me Alone, Daisy",1.38 Weak,"Studio DEEN Co., Ltd.",Manga,Comedy,~25min,TV-Series,12,1997
Zenryoku Usagi,1.50 Weak,"TMS Entertainment Co., Ltd.",Manga,Comedy,~13min,TV-Series,52,2008
The Eminence in Shadow,4.16 Excellent,Nexus,Light Novel,Action Comedy,~24min,TV-Series,20,2022
Food Wars! The Second Plate,4.16 Excellent,"J.C.STAFF Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,13,2016
Assassination Classroom Season 2,4.16 Excellent,Lerche,Manga,Action Comedy,~23min,TV-Series,25,2016
